         Time        Latgd         Long        Altkm
        0.000     65.12978   -147.48546        0.208
        0.100     65.12978   -147.48546        0.208
        0.200     65.12978   -147.48546        0.209
        0.300     65.12978   -147.48546        0.210
        0.400     65.12978   -147.48546        0.212
        0.500     65.12979   -147.48546        0.215
        0.600     65.12980   -147.48546        0.218
        0.639     65.12980   -147.48546        0.220
        0.639     65.12980   -147.48546        0.220
        0.700     65.12980   -147.48546        0.223
        0.800     65.12981   -147.48546        0.228
        0.900     65.12983   -147.48546        0.234
        1.000     65.12984   -147.48545        0.241
        1.000     65.12984   -147.48545        0.241
        1.100     65.12985   -147.48545        0.249
        1.200     65.12987   -147.48545        0.258
        1.300     65.12989   -147.48545        0.267
        1.400     65.12991   -147.48545        0.278
        1.500     65.12993   -147.48544        0.290
        1.551     65.12994   -147.48544        0.296
        1.551     65.12994   -147.48544        0.296
        1.600     65.12996   -147.48544        0.302
        1.700     65.12998   -147.48544        0.315
        1.800     65.13001   -147.48543        0.330
        1.900     65.13004   -147.48543        0.345
        2.000     65.13007   -147.48543        0.362
        2.100     65.13011   -147.48542        0.379
        2.200     65.13014   -147.48542        0.398
        2.300     65.13018   -147.48541        0.417
        2.400     65.13022   -147.48541        0.438
        2.500     65.13026   -147.48540        0.460
        2.600     65.13031   -147.48540        0.483
        2.700     65.13036   -147.48539        0.507
        2.800     65.13041   -147.48538        0.532
        2.900     65.13046   -147.48538        0.558
        3.000     65.13052   -147.48537        0.586
        3.100     65.13058   -147.48536        0.614
        3.200     65.13064   -147.48535        0.644
        3.300     65.13071   -147.48535        0.675
        3.400     65.13077   -147.48534        0.708
        3.500     65.13084   -147.48533        0.741
        3.600     65.13091   -147.48532        0.776
        3.700     65.13099   -147.48531        0.811
        3.800     65.13107   -147.48530        0.848
        3.900     65.13115   -147.48529        0.886
        4.000     65.13123   -147.48528        0.925
        4.100     65.13131   -147.48527        0.965
        4.200     65.13140   -147.48526        1.007
        4.300     65.13149   -147.48525        1.049
        4.400     65.13158   -147.48524        1.092
        4.500     65.13168   -147.48523        1.136
        4.600     65.13177   -147.48522        1.181
        4.700     65.13187   -147.48520        1.228
        4.800     65.13197   -147.48519        1.275
        4.900     65.13208   -147.48518        1.323
        5.000     65.13218   -147.48517        1.372
        5.100     65.13229   -147.48515        1.422
        5.200     65.13240   -147.48514        1.473
        5.300     65.13251   -147.48513        1.525
        5.400     65.13263   -147.48511        1.578
        5.500     65.13274   -147.48510        1.632
        5.600     65.13286   -147.48508        1.687
        5.700     65.13299   -147.48507        1.743
        5.800     65.13311   -147.48505        1.800
        5.900     65.13324   -147.48504        1.857
        6.000     65.13336   -147.48502        1.915
        6.100     65.13349   -147.48501        1.973
        6.200     65.13362   -147.48499        2.030
        6.200     65.13362   -147.48499        2.030
        6.300     65.13374   -147.48497        2.088
        6.400     65.13387   -147.48496        2.144
        6.500     65.13399   -147.48494        2.201
        6.600     65.13412   -147.48493        2.258
        6.700     65.13424   -147.48491        2.314
        6.800     65.13437   -147.48490        2.370
        6.900     65.13449   -147.48488        2.425
        7.000     65.13461   -147.48487        2.481
        7.100     65.13474   -147.48485        2.536
        7.200     65.13486   -147.48484        2.591
        7.300     65.13498   -147.48482        2.645
        7.400     65.13510   -147.48481        2.700
        7.500     65.13523   -147.48479        2.754
        7.600     65.13535   -147.48478        2.808
        7.700     65.13547   -147.48476        2.861
        7.800     65.13559   -147.48475        2.915
        7.900     65.13571   -147.48473        2.968
        8.000     65.13583   -147.48472        3.021
        8.100     65.13595   -147.48471        3.074
        8.200     65.13607   -147.48469        3.126
        8.300     65.13619   -147.48468        3.178
        8.400     65.13631   -147.48466        3.230
        8.500     65.13643   -147.48465        3.282
        8.600     65.13655   -147.48463        3.334
        8.700     65.13666   -147.48462        3.385
        8.800     65.13678   -147.48460        3.436
        8.900     65.13690   -147.48459        3.487
        9.000     65.13702   -147.48458        3.538
        9.100     65.13713   -147.48456        3.588
        9.200     65.13725   -147.48455        3.638
        9.300     65.13737   -147.48453        3.689
        9.400     65.13748   -147.48452        3.738
        9.500     65.13760   -147.48450        3.788
        9.600     65.13771   -147.48449        3.837
        9.700     65.13783   -147.48448        3.887
        9.800     65.13794   -147.48446        3.936
        9.900     65.13806   -147.48445        3.984
       10.000     65.13817   -147.48444        4.033
       10.000     65.13817   -147.48444        4.033
       10.100     65.13829   -147.48442        4.081
       10.200     65.13840   -147.48441        4.130
       10.300     65.13852   -147.48439        4.178
       10.400     65.13864   -147.48438        4.227
       10.500     65.13875   -147.48437        4.277
       10.600     65.13887   -147.48435        4.326
       10.700     65.13899   -147.48434        4.376
       10.800     65.13911   -147.48432        4.426
       10.900     65.13923   -147.48431        4.477
       11.000     65.13936   -147.48429        4.528
       11.100     65.13948   -147.48428        4.579
       11.200     65.13960   -147.48426        4.631
       11.300     65.13973   -147.48425        4.683
       11.400     65.13985   -147.48423        4.735
       11.500     65.13998   -147.48422        4.787
       11.600     65.14011   -147.48420        4.840
       11.700     65.14024   -147.48419        4.893
       11.800     65.14037   -147.48417        4.947
       11.900     65.14050   -147.48415        5.000
       12.000     65.14063   -147.48414        5.054
       12.100     65.14077   -147.48412        5.109
       12.200     65.14090   -147.48410        5.164
       12.300     65.14104   -147.48409        5.219
       12.400     65.14118   -147.48407        5.274
       12.500     65.14131   -147.48406        5.330
       12.600     65.14145   -147.48404        5.386
       12.700     65.14159   -147.48402        5.443
       12.800     65.14173   -147.48400        5.499
       12.900     65.14188   -147.48399        5.557
       13.000     65.14202   -147.48397        5.614
       13.100     65.14216   -147.48395        5.672
       13.200     65.14231   -147.48394        5.730
       13.300     65.14246   -147.48392        5.789
       13.400     65.14260   -147.48390        5.848
       13.500     65.14275   -147.48388        5.907
       13.600     65.14290   -147.48386        5.967
       13.700     65.14306   -147.48385        6.027
       13.800     65.14321   -147.48383        6.087
       13.900     65.14336   -147.48381        6.148
       14.000     65.14352   -147.48379        6.209
       14.100     65.14367   -147.48377        6.271
       14.200     65.14383   -147.48375        6.333
       14.300     65.14399   -147.48373        6.395
       14.400     65.14415   -147.48371        6.458
       14.500     65.14431   -147.48369        6.521
       14.600     65.14447   -147.48367        6.585
       14.700     65.14464   -147.48365        6.649
       14.800     65.14480   -147.48363        6.714
       14.900     65.14497   -147.48361        6.778
       15.000     65.14514   -147.48359        6.844
       15.100     65.14531   -147.48357        6.909
       15.200     65.14548   -147.48355        6.976
       15.300     65.14565   -147.48353        7.042
       15.400     65.14582   -147.48351        7.109
       15.500     65.14600   -147.48349        7.177
       15.600     65.14618   -147.48347        7.245
       15.700     65.14635   -147.48345        7.313
       15.800     65.14653   -147.48343        7.382
       15.900     65.14671   -147.48341        7.451
       16.000     65.14690   -147.48338        7.521
       16.100     65.14708   -147.48336        7.591
       16.200     65.14726   -147.48334        7.662
       16.300     65.14745   -147.48332        7.733
       16.400     65.14764   -147.48329        7.805
       16.500     65.14783   -147.48327        7.877
       16.600     65.14802   -147.48325        7.950
       16.700     65.14821   -147.48323        8.023
       16.800     65.14841   -147.48320        8.097
       16.900     65.14860   -147.48318        8.171
       17.000     65.14880   -147.48316        8.246
       17.100     65.14900   -147.48313        8.321
       17.200     65.14920   -147.48311        8.396
       17.300     65.14940   -147.48308        8.472
       17.400     65.14961   -147.48306        8.549
       17.500     65.14981   -147.48303        8.626
       17.600     65.15002   -147.48301        8.704
       17.700     65.15023   -147.48298        8.782
       17.800     65.15044   -147.48296        8.860
       17.900     65.15065   -147.48293        8.939
       18.000     65.15086   -147.48291        9.019
       18.100     65.15107   -147.48288        9.099
       18.200     65.15129   -147.48286        9.179
       18.300     65.15151   -147.48283        9.260
       18.400     65.15173   -147.48280        9.342
       18.500     65.15195   -147.48278        9.424
       18.600     65.15217   -147.48275        9.506
       18.700     65.15239   -147.48272        9.589
       18.800     65.15262   -147.48270        9.672
       18.900     65.15285   -147.48267        9.756
       19.000     65.15308   -147.48264        9.841
       19.100     65.15331   -147.48262        9.926
       19.200     65.15354   -147.48259       10.012
