         Time        Latgd         Long        Altkm
        0.000     65.13021   -147.48321        0.208
        0.100     65.13021   -147.48321        0.208
        0.200     65.13021   -147.48321        0.209
        0.300     65.13021   -147.48321        0.210
        0.400     65.13022   -147.48321        0.212
        0.500     65.13022   -147.48320        0.215
        0.600     65.13023   -147.48320        0.219
        0.622     65.13023   -147.48320        0.219
        0.622     65.13023   -147.48320        0.219
        0.700     65.13024   -147.48319        0.223
        0.800     65.13025   -147.48319        0.228
        0.900     65.13026   -147.48318        0.234
        0.900     65.13026   -147.48318        0.234
        1.000     65.13027   -147.48317        0.242
        1.100     65.13028   -147.48316        0.249
        1.200     65.13030   -147.48315        0.258
        1.300     65.13032   -147.48314        0.268
        1.400     65.13034   -147.48312        0.279
        1.451     65.13035   -147.48312        0.284
        1.451     65.13035   -147.48312        0.284
        1.500     65.13036   -147.48311        0.290
        1.600     65.13039   -147.48309        0.303
        1.700     65.13041   -147.48308        0.316
        1.800     65.13044   -147.48306        0.331
        1.900     65.13047   -147.48304        0.346
        2.000     65.13050   -147.48302        0.363
        2.100     65.13054   -147.48300        0.380
        2.200     65.13057   -147.48297        0.399
        2.300     65.13061   -147.48295        0.419
        2.400     65.13065   -147.48292        0.440
        2.500     65.13070   -147.48289        0.462
        2.600     65.13074   -147.48286        0.485
        2.700     65.13079   -147.48283        0.509
        2.800     65.13084   -147.48279        0.534
        2.900     65.13089   -147.48276        0.561
        3.000     65.13095   -147.48272        0.589
        3.100     65.13101   -147.48268        0.618
        3.200     65.13107   -147.48264        0.648
        3.300     65.13114   -147.48260        0.679
        3.400     65.13120   -147.48256        0.712
        3.500     65.13127   -147.48251        0.745
        3.600     65.13134   -147.48246        0.780
        3.700     65.13142   -147.48242        0.816
        3.800     65.13150   -147.48236        0.853
        3.900     65.13158   -147.48231        0.891
        4.000     65.13166   -147.48226        0.931
        4.100     65.13174   -147.48220        0.971
        4.200     65.13183   -147.48215        1.013
        4.300     65.13192   -147.48209        1.055
        4.400     65.13201   -147.48203        1.099
        4.500     65.13210   -147.48196        1.143
        4.600     65.13220   -147.48190        1.189
        4.700     65.13230   -147.48184        1.235
        4.800     65.13240   -147.48177        1.283
        4.900     65.13250   -147.48170        1.331
        5.000     65.13261   -147.48163        1.381
        5.100     65.13272   -147.48156        1.431
        5.200     65.13283   -147.48149        1.482
        5.300     65.13294   -147.48142        1.535
        5.400     65.13305   -147.48134        1.588
        5.500     65.13317   -147.48126        1.642
        5.600     65.13329   -147.48119        1.698
        5.700     65.13341   -147.48111        1.754
        5.800     65.13354   -147.48102        1.811
        5.900     65.13366   -147.48094        1.870
        6.000     65.13379   -147.48086        1.928
        6.100     65.13392   -147.48077        1.986
        6.200     65.13404   -147.48069        2.044
        6.200     65.13404   -147.48069        2.044
        6.300     65.13417   -147.48061        2.101
        6.400     65.13429   -147.48053        2.159
        6.500     65.13442   -147.48044        2.216
        6.600     65.13454   -147.48036        2.273
        6.700     65.13467   -147.48028        2.329
        6.800     65.13479   -147.48020        2.385
        6.900     65.13492   -147.48012        2.441
        7.000     65.13504   -147.48004        2.497
        7.100     65.13516   -147.47996        2.553
        7.200     65.13528   -147.47988        2.608
        7.300     65.13541   -147.47980        2.663
        7.400     65.13553   -147.47972        2.718
        7.500     65.13565   -147.47964        2.772
        7.600     65.13577   -147.47956        2.827
        7.700     65.13589   -147.47948        2.881
        7.800     65.13601   -147.47940        2.934
        7.900     65.13613   -147.47932        2.988
        8.000     65.13625   -147.47924        3.041
        8.100     65.13637   -147.47916        3.094
        8.200     65.13649   -147.47908        3.147
        8.300     65.13661   -147.47901        3.200
        8.400     65.13673   -147.47893        3.252
        8.500     65.13685   -147.47885        3.304
        8.600     65.13697   -147.47877        3.356
        8.700     65.13708   -147.47870        3.408
        8.800     65.13720   -147.47862        3.459
        8.900     65.13732   -147.47854        3.510
        9.000     65.13743   -147.47847        3.561
        9.100     65.13755   -147.47839        3.612
        9.200     65.13767   -147.47831        3.663
        9.300     65.13778   -147.47824        3.713
        9.400     65.13790   -147.47816        3.763
        9.500     65.13801   -147.47809        3.813
        9.600     65.13813   -147.47801        3.863
        9.700     65.13824   -147.47793        3.912
        9.800     65.13836   -147.47786        3.962
        9.900     65.13847   -147.47778        4.011
       10.000     65.13859   -147.47771        4.060
       10.000     65.13859   -147.47771        4.060
       10.100     65.13870   -147.47763        4.108
       10.200     65.13882   -147.47756        4.157
       10.300     65.13893   -147.47748        4.206
       10.400     65.13905   -147.47741        4.255
       10.500     65.13916   -147.47733        4.305
       10.600     65.13928   -147.47725        4.355
       10.700     65.13940   -147.47718        4.405
       10.800     65.13952   -147.47710        4.456
       10.900     65.13964   -147.47702        4.507
       11.000     65.13977   -147.47694        4.558
       11.100     65.13989   -147.47686        4.610
       11.200     65.14001   -147.47678        4.661
       11.300     65.14014   -147.47669        4.714
       11.400     65.14026   -147.47661        4.766
       11.500     65.14039   -147.47653        4.819
       11.600     65.14052   -147.47644        4.872
       11.700     65.14065   -147.47636        4.926
       11.800     65.14078   -147.47627        4.980
       11.900     65.14091   -147.47619        5.034
       12.000     65.14104   -147.47610        5.088
       12.100     65.14117   -147.47601        5.143
       12.200     65.14131   -147.47593        5.198
       12.300     65.14144   -147.47584        5.254
       12.400     65.14158   -147.47575        5.309
       12.500     65.14172   -147.47566        5.366
       12.600     65.14186   -147.47557        5.422
       12.700     65.14200   -147.47547        5.479
       12.800     65.14214   -147.47538        5.536
       12.900     65.14228   -147.47529        5.594
       13.000     65.14242   -147.47520        5.652
       13.100     65.14257   -147.47510        5.710
       13.200     65.14271   -147.47501        5.769
       13.300     65.14286   -147.47491        5.828
       13.400     65.14301   -147.47481        5.887
       13.500     65.14315   -147.47472        5.947
       13.600     65.14330   -147.47462        6.007
